,name,id,January,February,March,April,May,June,July,August,September,October,Novemeber,December,Signed_Up
0,Andrea Rush,341041,746.3859371687548,585.9509021599735,344.5400645501563,431.4163957195093,637.4936137555624,580.3091634130851,725.2080030405593,356.5079217391139,807.135454127394,431.8492148968313,458.8963754328043,750.6874099349111,1
1,Dana Ingram,250284,718.2793200609481,671.5750858763814,188.4113814089776,300.6104276449994,445.3551159532395,579.7291584376297,626.5299569625696,337.55162617195845,614.898257716161,389.14885386107295,455.89765187290743,497.7357356835754,1
2,Anna Schultz,210419,334.68511025023975,300.34498233238196,75.47942163789278,158.56774252268835,149.1133976034787,222.46757331043824,236.68503773844935,62.10556968569037,238.3991234312531,57.617224813774925,129.25581798675714,266.69685339592695,1
3,Dustin Bush,372946,827.4250506672187,744.3312195815278,267.9227848176202,403.7247123913699,407.1195091363803,476.70782534672287,522.2693855682375,332.3177036814982,592.7384869615998,375.70869683200834,525.2714813063876,695.3694255358065,1
4,Sharon Williams,338418,331.1513932559892,298.0154711505024,29.681020314580294,140.29927849451303,175.9301445646645,168.84812553972972,233.29757251113259,73.10035348487666,211.03365929594003,79.99981408080966,131.1023313483784,232.93123187451403,1
5,Joanne Wilson,343072,316.1391520152843,255.8070484173545,99.14591742419154,125.64510374997593,153.25587324690113,191.03326938594282,263.79200565714,68.9694820568979,216.84784812813214,75.74396441659101,140.1375289763455,250.77583720644114,1
6,Greg Willis,354553,594.2456869473294,535.482515074718,301.509181968495,387.3581918485377,322.4099026939547,386.7332649274765,401.391054045448,233.99368378369604,433.2475676101286,170.48661632280317,429.3322929462022,424.6226907389355,1
7,Troy Walters,228909,909.3751062511949,824.9499133627543,316.88581305811044,600.5859142045706,528.1279242440324,558.5966455111501,518.8649810318175,366.22533923901346,539.9327539658498,506.5423313994529,495.8387983622223,751.1669960490559,1
8,Savannah Tran,434509,319.67406988272444,224.8009907245062,9.049597814407452,150.72024796528652,128.98614052791294,190.80617624810952,213.5613209110155,51.851818098353135,211.22963375772864,120.90353262765298,125.88563659399175,245.3867340469181,1
9,Valerie Nash,434967,625.4722627952182,691.4534071283663,268.91017696939497,347.1999613515539,480.2356455027888,477.7082138639959,497.9059611813445,302.8316263401849,354.57786539832006,297.0863910641834,425.7566987454758,563.1598236297153,1
10,Robin Dean,381770,351.85790442538257,318.38639368225694,25.288997464219236,108.21821286621798,130.18712032431952,168.28816432148386,245.35843942981055,65.5415609771585,217.57409719940122,85.62480325047187,84.45925795004382,277.2846921343268,1
11,Monica Martin,264230,315.1052843569848,305.16618960533043,100.88241686645301,123.7106975449895,176.1835412281005,199.02119876116015,210.9173362986972,24.213428333621536,223.35004731730717,77.92238610496864,109.04292870257258,255.48255521774604,1
12,Scott Wagner,333606,856.023413600647,802.0323597262833,304.56812473726734,563.875767390645,592.9565857825187,497.6621713140421,571.7162844096484,420.0896101885892,624.1422677327191,450.77265867985,434.57553261487783,569.2970888807992,1
13,Tony Becker,255407,564.3676249134386,442.58183963074885,55.555936121896586,254.08629669523341,352.1852377453439,257.2663592635704,358.4844315996353,118.5726368507521,284.1963583245802,219.2819025859543,326.96893525675347,406.4742242239286,1
14,Michael Poole,456014,333.90905769090006,290.39857751201953,23.87623780430846,109.32927495893925,159.182231332735,165.68046161260685,273.13928209228203,80.8096953045395,219.78721242301006,93.07944514853452,105.21984320335369,280.76252186841043,1
15,Charles Adams,269989,758.3960429860167,641.2676400115721,250.47363813100185,410.448688019955,484.1942194328661,487.1468839222822,554.6309938477035,304.07188375959095,702.0455473398035,410.6299089626104,441.54813831933654,709.7762010218619,1
16,Julie Aguilar,406637,291.4106216220589,260.4108951485252,105.9776560606059,204.67341895705272,196.9199670610463,202.76730143378086,259.22443060597607,53.81573079597505,240.19056316666226,92.2360243155893,109.91389325894114,291.01745905014127,1
17,Eddie Contreras,217221,360.2995127383137,259.888036468497,44.868911950841536,133.26900857679598,179.61888774926945,199.8734832856035,268.84160157504084,89.78864637126547,194.73133904679133,106.81619865107635,92.18041410134842,278.3482674210236,0
18,Lisa Steele,218414,490.2732002435531,375.0439246470922,55.39846939449492,133.6070170373249,243.06998219664698,396.78613573647135,455.94761740640666,85.32721311817556,401.42167221746297,210.90689363748868,231.57972560430719,515.263951643333,1
19,Robert Stanley,279899,451.5707688797803,595.9475015095402,256.4884739397037,311.43825534723373,338.5408435738123,447.8661150527979,393.9665028686932,235.8040184535128,373.6790071393091,367.246274755022,291.46525937213136,526.4825860363769,1
20,Marissa Lopez,466008,346.4104806498582,338.01571087351624,74.48347150411968,111.04660662501827,186.5326837651931,179.89730596434123,260.05148906929975,54.05022737421581,227.74601301602831,86.3378126302936,93.44502523890323,245.8286705940927,1
21,Erik James,211900,329.6538242090336,270.92851956832175,72.98580163847606,163.5640401916665,175.4570999619139,179.5976034600398,247.77315398072403,71.7231382737469,222.64852215875698,86.93954033618053,107.34175547945884,276.3059495695593,1
22,Kevin Adams,437706,793.9098486017401,855.0756907165156,286.3866041351504,504.478484099845,598.0356362632543,526.2972303205039,676.0817640316799,448.458913149022,563.837954498815,437.99789511841396,425.09854300528957,761.061757636359,1
23,Rebecca Mcgee,359228,327.3939129828292,313.7592948813116,24.355614198709052,121.10325269852451,212.6602304416902,150.31199911964143,237.92618462382802,58.113976013444926,238.40740060063092,78.49726524701873,135.0847820364439,283.56759093975097,1
24,Ryan Murray,299821,758.307957032859,638.8550377633912,461.17472999849235,525.918197344012,467.07410417667194,560.7351779527659,489.7437036826981,395.90386614018263,536.3194794585179,343.3279506443494,420.69426800117276,628.174764293121,1
25,Rachel Castaneda,214061,538.1125530489812,437.46398640811515,271.92316435808215,216.2695936974559,313.643274601496,384.0530190924074,496.0640825850682,101.10964108060293,469.4465830411606,275.8538903590008,338.75012889817197,397.1084602859238,1
26,Travis Simon,464016,333.5904563318994,311.750898371975,11.213646131431886,172.33227445605132,145.55985425690756,163.85846856838606,242.70594922154035,47.76127988972553,252.59441703179732,111.869205857769,101.42396951388271,260.11013854308123,1
27,Autumn Henderson,219301,601.7953595476883,539.9127963883348,150.05381387032605,330.2908417781067,244.87845624529118,373.5306961626485,430.7095781007871,109.96104400352152,352.43121789291035,320.7700655104059,277.9440659655272,475.6578767533006,1
28,William Gutierrez,221576,546.8124520974006,359.0821817942202,200.81503480805694,346.1283100892506,376.6010501055125,365.1392551253573,649.7015444851395,217.31668796809416,542.8207619266091,312.69577989379616,459.4703000420129,461.40306389282296,1
