name,birth_date,age,children,employment,id,city,email,password,Signed_Up,Elec_January,Elec_February,Elec_March,Elec_April,Elec_May,Elec_June,Elec_July,Elec_August,Elec_September,Elec_October,Elec_Novemeber,Elec_December,Water_January,Water_February,Water_March,Water_April,Water_May,Water_June,Water_July,Water_August,Water_September,Water_October,Water_Novemeber,Water_December,Arnona
Andrea Rush,1968-06-28,54,3,1,341041,Rishon_LeTsiyon,shannongrant@smith.com,NI!$$2Ih+9,1,746.3859371687548,585.9509021599735,344.5400645501563,431.4163957195093,637.4936137555624,580.3091634130851,725.2080030405593,356.5079217391139,807.135454127394,431.8492148968313,458.8963754328043,750.6874099349111,64.11737526901837,49.34218326887744,43.002580157473744,58.171395729547314,48.93952226197243,42.81536658047359,49.72339940559896,43.91764263673876,48.27241195697512,44.05593834776651,57.26022573409169,57.39631170851477,847.3286725605396
Dana Ingram,1975-01-06,47,2,1,250284,Tel_Aviv_Yaffo,ryan04@hotmail.com,f^0rWSIf9(,1,718.2793200609481,671.5750858763814,188.4113814089776,300.6104276449994,445.3551159532395,579.7291584376297,626.5299569625696,337.55162617195845,614.898257716161,389.14885386107295,455.8976518729074,497.7357356835754,43.79266943641879,37.20421586788212,38.09770100895665,49.04316016204955,52.96266268574208,43.24343016402391,37.79204192481326,45.42464074936885,40.91627695438181,44.11878202689834,55.96780256451934,53.49934264680164,989.9407046440522
Anna Schultz,1997-06-09,25,1,1,210419,Rishon_LeTsiyon,michelletrujillo@gmail.com,*0eHBpAHOh,1,334.68511025023975,300.344982332382,75.47942163789278,158.56774252268835,149.1133976034787,222.46757331043824,236.68503773844932,62.10556968569037,238.3991234312531,57.617224813774925,129.25581798675714,266.6968533959269,10.61261696618342,8.808173792405947,8.315443904057867,12.976096673496173,12.66610814915903,12.208316345234776,13.216524111766455,15.453397624044996,10.606996812582558,10.232259756208322,14.358280919201198,15.941368262089728,825.365248500524
Dustin Bush,1975-04-30,47,2,0,372946,Petah_Tikva,fdean@gmail.com,ZvF4OYw1B^,1,827.4250506672187,744.3312195815278,267.9227848176202,403.7247123913699,407.1195091363803,476.70782534672287,522.2693855682375,332.3177036814982,592.7384869615998,375.70869683200834,525.2714813063876,695.3694255358065,54.46698802517052,57.804995405176015,49.88759047712802,43.75543950822127,54.52937962541386,38.44206795028482,29.991159938075832,41.52348637190106,27.954814718901023,35.90041354618155,42.99139270109559,46.76861945664282,577.366448185933
Sharon Williams,1977-05-15,45,3,1,338418,Tel_Aviv_Yaffo,suebaxter@yahoo.com,q7KO40Nj^r,1,331.1513932559892,298.0154711505024,29.68102031458029,140.29927849451303,175.9301445646645,168.84812553972972,233.29757251113256,73.10035348487666,211.03365929594003,79.99981408080966,131.1023313483784,232.93123187451403,14.804406680335385,13.360208622541489,7.419155579134859,13.194825339803415,11.465208622652256,7.298853536509479,12.40255685155648,16.94966866347894,15.700548047982744,12.92268813342098,11.6834560161108,8.295528609236486,947.0189008584204
Joanne Wilson,1977-04-30,45,3,1,343072,Tel_Aviv_Yaffo,bennettcourtney@barrett.biz,%AY0Et#+6h,1,316.1391520152843,255.8070484173545,99.14591742419154,125.64510374997592,153.25587324690113,191.0332693859428,263.79200565714,68.9694820568979,216.8478481281321,75.74396441659101,140.1375289763455,250.77583720644117,7.127261284329369,13.830342936116912,7.116265222229788,9.506157256559886,7.619234433106791,12.040323380505695,14.503732207238173,6.694195296276583,14.620086355916818,10.175051098007202,12.113354972423652,14.515068953886654,945.5395318033592
Greg Willis,1992-04-07,30,1,1,354553,Ramat_HaSharon,robertkelly@henderson.info,z*$x2EJhos,1,594.2456869473294,535.482515074718,301.509181968495,387.3581918485377,322.4099026939547,386.7332649274765,401.391054045448,233.99368378369604,433.2475676101286,170.48661632280317,429.3322929462022,424.6226907389355,42.35182988071758,36.21969737445578,41.273818917843,36.282241010591264,38.22337078152532,35.91516791663582,37.29867410789014,36.70219335288982,35.200102379188294,27.71580181880639,38.905306042322906,40.60213739055163,772.9729331269198
Troy Walters,1963-12-25,59,3,1,228909,Tel_Aviv_Yaffo,zsavage@yahoo.com,_0TvpoOQdJ,1,909.3751062511948,824.9499133627543,316.88581305811044,600.5859142045706,528.1279242440324,558.5966455111501,518.8649810318175,366.2253392390135,539.9327539658498,506.5423313994529,495.8387983622223,751.1669960490559,49.60414830052148,43.95499920883548,56.401238858864005,42.83310620384675,51.727627786817806,49.73744333249444,61.05975689929048,55.593088933529344,45.10965884848435,52.79133242949038,48.21933930695753,58.77488717388542,1150.3566265051209
Savannah Tran,1989-05-16,33,2,1,434509,Ramat_Gan,paulyoung@barnett.com,y&3CYna3p$,1,319.67406988272444,224.8009907245062,9.049597814407452,150.72024796528652,128.98614052791294,190.80617624810952,213.5613209110155,51.851818098353135,211.22963375772864,120.90353262765298,125.88563659399176,245.3867340469181,10.264039748035794,15.9191284822375,14.2664448143802,11.724072750387185,12.720483728706435,11.987346344523932,10.770750177736687,13.222192987651429,11.820155837005249,11.492735908211417,11.15888635835132,13.776329794373297,622.5294213493735
Valerie Nash,1981-09-06,41,2,1,434967,Tel_Aviv_Yaffo,mary44@gmail.com,_K^6HUt@At,1,625.4722627952182,691.4534071283663,268.91017696939497,347.1999613515539,480.2356455027888,477.7082138639959,497.9059611813445,302.8316263401849,354.57786539832006,297.0863910641834,425.7566987454758,563.1598236297153,37.86957420135397,57.11101378870604,47.80846231764057,51.29608953038891,47.08679679156941,46.39280253212022,45.30334115757018,53.83802873282815,31.065137725788983,52.209735269706925,46.446553098569055,44.883018468769336,943.3021702717024
