,name,id,January,February,March,April,May,June,July,August,September,October,Novemeber,December,Signed_Up
0,Andrea Rush,341041,64.11737526901837,49.342183268877434,43.002580157473744,58.171395729547314,48.93952226197243,42.81536658047359,49.72339940559896,43.917642636738755,48.27241195697512,44.05593834776651,57.26022573409169,57.39631170851477,1
1,Dana Ingram,250284,43.79266943641879,37.20421586788212,38.09770100895665,49.04316016204955,52.962662685742075,43.243430164023906,37.79204192481326,45.42464074936885,40.916276954381814,44.118782026898344,55.96780256451934,53.49934264680164,1
2,Anna Schultz,210419,10.61261696618342,8.808173792405947,8.315443904057867,12.976096673496173,12.66610814915903,12.208316345234776,13.216524111766455,15.453397624044996,10.606996812582558,10.232259756208322,14.358280919201198,15.941368262089728,1
3,Dustin Bush,372946,54.46698802517052,57.804995405176015,49.88759047712802,43.755439508221265,54.52937962541386,38.44206795028482,29.991159938075832,41.52348637190106,27.954814718901023,35.90041354618155,42.99139270109559,46.768619456642824,1
4,Sharon Williams,338418,14.804406680335383,13.360208622541487,7.419155579134859,13.194825339803415,11.465208622652257,7.298853536509479,12.402556851556481,16.94966866347894,15.700548047982743,12.92268813342098,11.683456016110801,8.295528609236486,1
5,Joanne Wilson,343072,7.127261284329369,13.830342936116912,7.116265222229788,9.506157256559886,7.619234433106791,12.040323380505695,14.503732207238173,6.694195296276583,14.620086355916818,10.175051098007202,12.113354972423652,14.515068953886654,1
6,Greg Willis,354553,42.35182988071758,36.219697374455784,41.273818917843,36.282241010591264,38.22337078152532,35.91516791663582,37.29867410789014,36.70219335288982,35.200102379188294,27.71580181880639,38.905306042322906,40.60213739055163,1
7,Troy Walters,228909,49.60414830052148,43.95499920883548,56.401238858864005,42.83310620384675,51.727627786817806,49.737443332494436,61.05975689929048,55.593088933529344,45.10965884848435,52.79133242949038,48.21933930695753,58.77488717388542,1
8,Savannah Tran,434509,10.264039748035794,15.919128482237499,14.2664448143802,11.724072750387183,12.720483728706435,11.987346344523932,10.770750177736687,13.222192987651427,11.820155837005249,11.492735908211415,11.158886358351321,13.776329794373297,1
9,Valerie Nash,434967,37.86957420135397,57.11101378870604,47.80846231764057,51.29608953038891,47.08679679156941,46.39280253212022,45.30334115757018,53.83802873282815,31.065137725788986,52.209735269706925,46.446553098569055,44.883018468769336,1
